URL,low_price,image,name,normal_price
https://www.plazavea.com.pe/gaseosa-inca-kola-coca-cola-fanta-paquete-3un-botella-3l/p,S/ 20.90,https://plazavea.vteximg.com.br/arquivos/ids/197154-220-220/20102556.jpg?v=636610526684030000,Gaseosa INCA KOLA + COCA COLA + FANTA Paquete 3un Botella 3L,S/ 24.20
https://www.plazavea.com.pe/cerveza-tres-cruces-12-pack-lata-355ml/p,S/ 24.90,https://plazavea.vteximg.com.br/arquivos/ids/198096-220-220/20139775.jpg?v=636638400483330000,Cerveza TRES CRUCES 12 Pack Lata 355ml,S/ 34.50
https://www.plazavea.com.pe/lomo-saltado-de-res-el-buen-corte/p,No disponible,https://plazavea.vteximg.com.br/arquivos/ids/180143-220-220/20061630.jpg?v=635939186599300000,Lomo Saltado de Res EL BUEN CORTE,No disponible
https://www.plazavea.com.pe/alitas-de-pollo/p,No disponible,https://plazavea.vteximg.com.br/arquivos/ids/177010-220-220/135614.jpg?v=635864714850400000,Alitas de Pollo,No disponible
https://www.plazavea.com.pe/medallones-de-pavita/p,No disponible,https://plazavea.vteximg.com.br/arquivos/ids/181224-220-220/361699.jpg?v=636023737683830000,Medallones de Pavita,No disponible
https://www.plazavea.com.pe/pollo-fresco-con-menudencia-san-fernando/p,No disponible,https://plazavea.vteximg.com.br/arquivos/ids/175421-220-220/205375.jpg?v=635808889352970000,Pollo Fresco con Menudencia SAN FERNANDO,No disponible
https://www.plazavea.com.pe/agua-de-mesa-bells-sin-gas-botella-2-5l/p,No disponible,https://plazavea.vteximg.com.br/arquivos/ids/196341-220-220/20134746.jpg?v=636578664336970000,Agua de Mesa BELL'S sin Gas Botella 2.5L,No disponible
https://www.plazavea.com.pe/whisky-johnnie-walker-red-label-pack-2un-botella-750ml/p,S/ 72.90,https://plazavea.vteximg.com.br/arquivos/ids/193028-220-220/20133741.jpg?v=636461751905500000,Whisky JOHNNIE WALKER Red Label Pack 2un Botella 750ml,S/ 82.90
https://www.plazavea.com.pe/gaseosa-inca-kola-sin-azucar-botella-1-5l-paquete-2un/p,S/ 9.90,https://plazavea.vteximg.com.br/arquivos/ids/199289-220-220/20102589.jpg?v=636657245735700000,Gaseosa INCA KOLA Sin Azúcar Botella 1.5L Paquete 2un,S/ 11.10
https://www.plazavea.com.pe/gaseosa-coca-cola-sin-azucar-botella-2-25l/p,S/ 6.00,https://plazavea.vteximg.com.br/arquivos/ids/199292-220-220/20116220.jpg?v=636657245747600000,Gaseosa COCA COLA Sin Azúcar Botella 2.25L,S/ 6.90
https://www.plazavea.com.pe/cerveza-corona-6-pack-botella-355ml/p,S/ 21.90,https://plazavea.vteximg.com.br/arquivos/ids/178222-220-220/755306.jpg?v=635909109083230000,Cerveza CORONA 6 Pack Botella 355ml,S/ 27.90
